epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
64,4261.56,1.63957,3.26313,1.44999,1.31509,0,0.42198,0.32897,0.3129,0.16522,0.32324,0.22999,0.16961,0.06595,1.71043,3.68002,1.81272,1.33703,0,0.0007526,0.0007526,0.0007526
65,4323.95,1.66475,3.25833,1.38657,1.30658,0,0.42706,0.32007,0.30019,0.15992,0.32269,0.23581,0.18666,0.06958,1.7027,3.74104,1.89172,1.32787,0,0.0007328,0.0007328,0.0007328
66,4388.94,1.63501,3.17876,1.54007,1.31855,0,0.44537,0.35226,0.31905,0.16879,0.35835,0.24745,0.20266,0.08088,1.67352,3.75359,1.79354,1.33389,0,0.000713,0.000713,0.000713
67,4457.03,1.56565,3.20561,1.41802,1.28187,0,0.43055,0.2984,0.29636,0.15244,0.34936,0.22125,0.17915,0.06833,1.69311,3.67045,1.8614,1.33459,0,0.0006932,0.0006932,0.0006932
68,4524.09,1.56706,3.16883,1.37799,1.27729,0,0.40868,0.32169,0.29875,0.15529,0.31926,0.25036,0.19,0.07228,1.70922,3.71081,2.03474,1.33142,0,0.0006734,0.0006734,0.0006734
69,4588.24,1.59896,3.18078,1.64435,1.29796,0,0.43665,0.32606,0.29891,0.15173,0.36674,0.25182,0.20395,0.07777,1.69787,3.70213,1.90453,1.3373,0,0.0006536,0.0006536,0.0006536
70,4657.27,1.59442,3.21396,1.3709,1.29583,0,0.38558,0.31295,0.2816,0.14585,0.30223,0.23706,0.1663,0.06484,1.68409,3.77123,1.96064,1.32577,0,0.0006338,0.0006338,0.0006338
71,4723.5,1.59723,3.16185,1.46238,1.25872,0,0.34972,0.2853,0.24488,0.12329,0.25037,0.19203,0.13288,0.04874,1.69747,3.73678,2.0296,1.3342,0,0.000614,0.000614,0.000614
72,4796.24,1.60594,3.2011,1.39125,1.28236,0,0.38106,0.29403,0.27467,0.13888,0.29424,0.19505,0.14907,0.05907,1.72489,3.63074,1.93858,1.33721,0,0.0005942,0.0005942,0.0005942
73,4860.53,1.59384,3.20114,1.31217,1.29204,0,0.41484,0.34061,0.30151,0.15501,0.32445,0.2591,0.18706,0.0714,1.7441,3.54229,1.83301,1.35236,0,0.0005744,0.0005744,0.0005744
74,4924.46,1.57102,3.22978,1.40842,1.28057,0,0.44152,0.33042,0.31035,0.16288,0.37011,0.23581,0.1885,0.07578,1.71501,3.63011,1.90632,1.33307,0,0.0005546,0.0005546,0.0005546
75,4985.63,1.57517,3.14868,1.39128,1.27503,0,0.43302,0.28236,0.26979,0.13777,0.33041,0.20524,0.15741,0.06452,1.73344,3.75262,1.93187,1.37052,0,0.0005348,0.0005348,0.0005348
76,5049.14,1.57192,3.09392,1.43582,1.28091,0,0.42186,0.2591,0.25136,0.12779,0.31678,0.18049,0.13391,0.05126,1.72952,3.77619,1.96438,1.36566,0,0.000515,0.000515,0.000515
77,5113.28,1.59943,3.19004,1.31506,1.26626,0,0.37308,0.29549,0.259,0.13339,0.29334,0.19796,0.13754,0.05383,1.68924,3.69476,1.98649,1.33778,0,0.0004952,0.0004952,0.0004952
78,5175.65,1.604,3.14703,1.35329,1.28386,0,0.37937,0.31853,0.28076,0.1484,0.32272,0.22853,0.17352,0.06972,1.69083,3.64017,1.955,1.32609,0,0.0004754,0.0004754,0.0004754
79,5241.35,1.55742,3.10971,1.32951,1.25798,0,0.43073,0.32023,0.30937,0.16453,0.34099,0.25036,0.1974,0.08168,1.67651,3.61368,1.86832,1.3166,0,0.0004556,0.0004556,0.0004556
80,5311.4,1.49839,2.99259,1.29219,1.23278,0,0.41244,0.34061,0.33032,0.17625,0.38433,0.25261,0.21976,0.08496,1.67616,3.58282,1.77943,1.3204,0,0.0004358,0.0004358,0.0004358
81,5378.81,1.59087,3.17994,1.36513,1.28538,0,0.42512,0.35808,0.33842,0.17867,0.36235,0.25619,0.21526,0.08367,1.67583,3.62441,1.78545,1.32092,0,0.000416,0.000416,0.000416
82,5440.66,1.50145,2.99372,1.3078,1.23845,0,0.41153,0.32314,0.31216,0.16889,0.31935,0.25036,0.19628,0.07664,1.6826,3.71018,1.79402,1.31584,0,0.0003962,0.0003962,0.0003962
83,5504.35,1.53731,3.15611,1.36183,1.27573,0,0.39562,0.32682,0.30314,0.16233,0.29665,0.25539,0.17414,0.07113,1.68512,3.7784,1.82506,1.3125,0,0.0003764,0.0003764,0.0003764
84,5568.85,1.51119,3.14125,1.33094,1.25876,0,0.40377,0.35662,0.31993,0.1663,0.30983,0.27365,0.18708,0.07351,1.68393,3.68725,1.79573,1.32371,0,0.0003566,0.0003566,0.0003566
85,5631.78,1.46618,3.04714,1.33822,1.24981,0,0.38783,0.36245,0.3189,0.16837,0.34598,0.25619,0.19982,0.07861,1.70252,3.59398,1.79127,1.33182,0,0.0003368,0.0003368,0.0003368
86,5696.96,1.53181,3.09584,1.34502,1.29317,0,0.40677,0.35517,0.31634,0.16843,0.34074,0.28093,0.20794,0.07811,1.68903,3.55987,1.80727,1.3169,0,0.000317,0.000317,0.000317
87,5764.39,1.51723,2.98562,1.30625,1.26861,0,0.41992,0.36827,0.32293,0.16906,0.33271,0.28675,0.20269,0.07801,1.6683,3.62047,1.78704,1.30995,0,0.0002972,0.0002972,0.0002972
